caching,access_pattern,payload_weight,entropy,network,density,concurrency,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,zipfian,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,1767.0,2114.5,
on,uniform,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,706.75,545.25,
on,uniform,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,1482.75,1162.0,
on,unique,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,779.75,611.75,
on,unique,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,1622.5,1620.75,
on,zipfian,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,851.0,687.5,
on,zipfian,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,1966.5,2191.0,
off,uniform,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,uniform,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,unique,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,unique,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,zipfian,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,zipfian,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
on,uniform,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,2,2,,,,,insufficient_n,0.0505069878655363,0.03579827541154945,
on,uniform,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,2,2,,,,,insufficient_n,0.1141051125572915,0.23938994115771106,
on,unique,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,2,2,,,,,insufficient_n,0.3029928218034146,0.29067004593695545,
on,unique,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,2,2,,,,,insufficient_n,0.2791146995067701,0.3306818181818182,
on,zipfian,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,2,2,,,,,insufficient_n,0.49687536847069924,0.4810515161261061,
on,zipfian,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,2,2,,,,,insufficient_n,0.5724250174378052,0.5307002848048249,
off,uniform,heavy,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
off,uniform,light,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
off,unique,heavy,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
off,unique,light,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
off,zipfian,heavy,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
off,zipfian,light,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
on,uniform,heavy,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
on,uniform,light,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
on,unique,heavy,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
on,unique,light,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
on,zipfian,heavy,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
on,zipfian,light,medium,constrained,medium,10,error_rate,rest,graphql,2,2,,,,,insufficient_n,0.0,0.0,
off,uniform,heavy,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,29.583333333333336,69.89166666666668,
off,uniform,light,medium,constrained,medium,10,cpu_mean,rest,graphql,2,2,,,,,insufficient_n,32.33333333333333,73.35,
