protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
graphql,baseline,medium,100,xproc_p95,30,0.6221668843603401,False
graphql,filtered,high,10,xproc_p95,30,0.018030778919756005,True
graphql,filtered,high,50,xproc_p95,30,0.7954852235213259,False
graphql,filtered,high,100,xproc_p95,30,0.601783875132417,False
graphql,filtered,low,10,xproc_p95,30,0.43752817364076524,False
graphql,filtered,low,50,xproc_p95,30,0.9679393557958417,False
graphql,filtered,low,100,xproc_p95,30,0.13133446123914222,False
graphql,filtered,medium,10,xproc_p95,30,0.37303443618124876,False
graphql,filtered,medium,50,xproc_p95,30,0.4261109616184765,False
graphql,filtered,medium,100,xproc_p95,30,0.09130881361641524,False
graphql,partial,high,10,xproc_p95,30,0.3361448613206008,False
graphql,partial,high,50,xproc_p95,30,0.335367618682426,False
graphql,partial,high,100,xproc_p95,30,0.6428754870262577,False
graphql,partial,low,10,xproc_p95,30,0.00010081485248873186,True
graphql,partial,low,50,xproc_p95,30,0.5588890784119315,False
graphql,partial,low,100,xproc_p95,30,0.0015387628916189746,True
graphql,partial,medium,10,xproc_p95,30,0.12095076330058918,False
graphql,partial,medium,50,xproc_p95,30,0.41642981162633663,False
graphql,partial,medium,100,xproc_p95,30,0.4856515500206689,False
rest,aggregate,high,10,xproc_p95,30,0.7632934861618663,False
rest,aggregate,high,50,xproc_p95,30,6.475913603230499e-06,True
rest,aggregate,high,100,xproc_p95,30,0.004344742568830747,True
rest,aggregate,low,10,xproc_p95,30,0.09157751973259706,False
rest,aggregate,low,50,xproc_p95,30,0.05115799949135834,False
rest,aggregate,low,100,xproc_p95,30,0.1484988679293801,False
rest,aggregate,medium,10,xproc_p95,30,0.8824600815460741,False
rest,aggregate,medium,50,xproc_p95,30,9.864449919699608e-07,True
rest,aggregate,medium,100,xproc_p95,30,0.0009345099808992344,True
rest,baseline,high,10,xproc_p95,30,0.8620094303004522,False
rest,baseline,high,50,xproc_p95,30,0.03575448438681164,True
rest,baseline,high,100,xproc_p95,30,0.5780725382433229,False
rest,baseline,low,10,xproc_p95,30,0.32210161049922564,False
rest,baseline,low,50,xproc_p95,30,0.0013593773810616776,True
rest,baseline,low,100,xproc_p95,30,0.0885359214213863,False
rest,baseline,medium,10,xproc_p95,30,0.9876984612086742,False
rest,baseline,medium,50,xproc_p95,30,0.000549398797140314,True
rest,baseline,medium,100,xproc_p95,30,0.32639423836109455,False
rest,filtered,high,10,xproc_p95,30,0.5239116590691262,False
rest,filtered,high,50,xproc_p95,30,0.01578351569785168,True
rest,filtered,high,100,xproc_p95,30,0.3219162892882853,False
rest,filtered,low,10,xproc_p95,30,0.24159229469626387,False
rest,filtered,low,50,xproc_p95,30,4.769552935532969e-05,True
rest,filtered,low,100,xproc_p95,30,0.02832084333139706,True
rest,filtered,medium,10,xproc_p95,30,0.5971273068665774,False
rest,filtered,medium,50,xproc_p95,30,0.8830248043404114,False
rest,filtered,medium,100,xproc_p95,30,0.027121619669401614,True
rest,partial,high,10,xproc_p95,30,0.9717302283431601,False
rest,partial,high,50,xproc_p95,30,0.34853588597760127,False
rest,partial,high,100,xproc_p95,30,0.13785893619161693,False
rest,partial,low,10,xproc_p95,30,0.778102662397659,False
rest,partial,low,50,xproc_p95,30,2.0480539406275126e-07,True
rest,partial,low,100,xproc_p95,30,0.0009897588315908314,True
rest,partial,medium,10,xproc_p95,30,0.07400539811085351,False
rest,partial,medium,50,xproc_p95,30,0.03501785972385052,True
rest,partial,medium,100,xproc_p95,30,0.00016360829668528112,True
