pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
aggregate,high,50,xproc_p95,30,30,0.07620859999999975,0.35112655000000004,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,100,xproc_p95,30,30,0.21944039999999998,0.6206007249999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,10,xproc_p95,30,30,0.01345114999999995,0.0772685749999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,50,xproc_p95,30,30,0.06871062499999994,0.35257685,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,100,xproc_p95,30,30,0.20398819999999995,0.5953182999999997,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,10,xproc_p95,30,30,0.013927,0.08038059999999994,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,50,xproc_p95,30,30,0.071332325,0.355030825,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,100,xproc_p95,30,30,0.22038084999999996,0.6194820249999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,10,xproc_p95,30,30,0.0638012,0.17998674999999986,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,50,xproc_p95,30,30,0.28871115,0.8133555,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,100,xproc_p95,30,30,0.515231,1.5428914749999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,10,xproc_p95,30,30,0.0232535499999999,0.1042675249999988,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,50,xproc_p95,30,30,0.09887114999999995,0.4610544499999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,100,xproc_p95,30,30,0.26054002499999995,0.8283849999999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,10,xproc_p95,30,30,0.03972035,0.14334782499999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,50,xproc_p95,30,30,0.17943154999999988,0.6153940999999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,100,xproc_p95,30,30,0.36917710000000004,1.14041025,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,10,xproc_p95,30,30,0.033474325,0.15046927499999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,50,xproc_p95,30,30,0.1378645249999999,0.557185,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,100,xproc_p95,30,30,0.31660327499999996,1.0203682500000002,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,10,xproc_p95,30,30,0.017118225,0.13421802499999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
