pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
aggregate,high,1,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,high,10,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,high,50,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,high,100,payload_bytes_med,30,30,296.0,319.0,0.0,1.685298194892643e-14,-1.0,large,rest,2.0223578338711716e-13,True
aggregate,low,1,payload_bytes_med,30,30,191.0,214.0,0.0,8.553299955766784e-13,-1.0,large,rest,8.211167957536112e-12,True
aggregate,low,10,payload_bytes_med,30,30,191.0,214.0,0.0,1.7519560330661106e-12,-1.0,large,rest,1.1000148248932183e-11,True
aggregate,low,50,payload_bytes_med,30,30,191.0,214.0,0.0,2.0625277966747845e-12,-1.0,large,rest,1.1000148248932183e-11,True
aggregate,low,100,payload_bytes_med,30,30,191.0,214.0,0.0,1.626982986927068e-12,-1.0,large,rest,1.1000148248932183e-11,True
aggregate,medium,1,payload_bytes_med,30,30,287.0,310.0,0.0,2.052854363991583e-12,-1.0,large,rest,1.1000148248932183e-11,True
aggregate,medium,10,payload_bytes_med,30,30,287.0,310.0,0.0,9.174715895975412e-12,-1.0,large,rest,3.3875874077447673e-11,True
aggregate,medium,50,payload_bytes_med,30,30,287.0,310.0,0.0,6.878669159288522e-12,-1.0,large,rest,2.751467663715409e-11,True
aggregate,medium,100,payload_bytes_med,30,30,287.0,310.5,0.0,4.862566899344761e-12,-1.0,large,rest,2.334032111685485e-11,True
baseline,high,1,payload_bytes_med,30,30,9261.0,9291.0,288.0,0.014776262349998284,-0.36,medium,rest,0.01677248816211652,True
baseline,high,10,payload_bytes_med,30,30,9261.0,9291.0,273.0,0.007187859372876479,-0.3933333333333333,medium,rest,0.008625431247451775,True
baseline,high,50,payload_bytes_med,30,30,9261.0,9291.0,257.0,0.0028141578009361376,-0.4288888888888889,medium,rest,0.0035547256432877524,True
baseline,high,100,payload_bytes_med,30,30,9261.0,9291.0,283.0,0.011134442316071138,-0.3711111111111111,medium,rest,0.013035444662717428,True
baseline,low,1,payload_bytes_med,30,30,1864.0,1894.0,333.0,0.07789664430596045,-0.26,small,rest,0.07955401971672556,False
baseline,low,10,payload_bytes_med,30,30,1864.0,1894.0,332.0,0.07758934240997967,-0.26222222222222225,small,rest,0.07955401971672556,False
baseline,low,50,payload_bytes_med,30,30,1864.0,1894.0,297.0,0.020712777599175232,-0.34,medium,rest,0.022595757380918433,True
baseline,low,100,payload_bytes_med,30,30,1864.0,1894.0,201.0,0.00018937304006435505,-0.5533333333333333,large,rest,0.0002456731330564606,True
baseline,medium,1,payload_bytes_med,30,30,5495.0,5532.0,148.0,7.701530284460399e-06,-0.6711111111111111,large,rest,1.1552295426690598e-05,True
baseline,medium,10,payload_bytes_med,30,30,5502.0,5536.5,101.5,2.386283566292301e-07,-0.7744444444444445,large,rest,3.818053706067682e-07,True
baseline,medium,50,payload_bytes_med,30,30,5502.0,5525.0,160.5,1.8128405586304332e-05,-0.6433333333333333,large,rest,2.4861813375503084e-05,True
baseline,medium,100,payload_bytes_med,30,30,5502.0,5525.0,160.0,1.797869161869865e-05,-0.6444444444444445,large,rest,2.4861813375503084e-05,True
filtered,high,1,payload_bytes_med,30,30,3319.0,3259.0,352.0,0.14420541992147143,-0.21777777777777776,small,graphql,0.14420541992147143,False
filtered,high,10,payload_bytes_med,30,30,3319.0,3304.0,325.0,0.06254780946736672,-0.2777777777777778,small,graphql,0.06671766343185784,False
filtered,high,50,payload_bytes_med,30,30,3229.0,3349.0,287.0,0.015025353978562715,-0.3622222222222222,medium,rest,0.01677248816211652,True
filtered,high,100,payload_bytes_med,30,30,3229.0,3349.0,182.0,6.406345688162266e-05,-0.5955555555555555,large,rest,8.541794250883022e-05,True
filtered,low,1,payload_bytes_med,30,30,524.0,554.0,54.0,1.0279577007153114e-09,-0.88,large,rest,2.3496176016349974e-09,True
filtered,low,10,payload_bytes_med,30,30,524.0,642.0,52.0,1.8597471475877273e-09,-0.8844444444444445,large,rest,3.7194942951754547e-09,True
filtered,low,50,payload_bytes_med,30,30,524.0,554.0,76.0,1.50994992331218e-08,-0.8311111111111111,large,rest,2.692186978904328e-08,True
filtered,low,100,payload_bytes_med,30,30,524.0,554.0,144.0,4.494630374763189e-06,-0.68,large,rest,6.95942767705268e-06,True
filtered,medium,1,payload_bytes_med,30,30,1954.75,1982.0,30.0,4.503141932131183e-10,-0.9333333333333333,large,rest,1.0807540637114838e-09,True
filtered,medium,10,payload_bytes_med,30,30,1963.0,1993.0,60.0,6.853804612025846e-09,-0.8666666666666667,large,rest,1.3159304855089623e-08,True
filtered,medium,50,payload_bytes_med,30,30,1963.0,1993.0,0.0,2.480765832160908e-11,-1.0,large,rest,7.442297496482724e-11,True
