protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
rest,partial,medium,50,payload_bytes_med,30,0.00014425901586774954,True
rest,partial,medium,100,payload_bytes_med,30,0.0032712819155193,True
graphql,aggregate,high,1,xproc_p95,30,0.452354697763839,False
graphql,aggregate,high,10,xproc_p95,30,2.21901177736913e-06,True
graphql,aggregate,high,50,xproc_p95,30,0.015104827390842509,True
graphql,aggregate,high,100,xproc_p95,30,0.3039299604590076,False
graphql,aggregate,low,1,xproc_p95,30,0.43578052917067533,False
graphql,aggregate,low,10,xproc_p95,30,6.311185236992557e-07,True
graphql,aggregate,low,50,xproc_p95,30,0.12468282975021167,False
graphql,aggregate,low,100,xproc_p95,30,0.692648835115538,False
graphql,aggregate,medium,1,xproc_p95,30,0.3860160322300772,False
graphql,aggregate,medium,10,xproc_p95,30,0.0002258458029892528,True
graphql,aggregate,medium,50,xproc_p95,30,0.01828204610172716,True
graphql,aggregate,medium,100,xproc_p95,30,0.0012290555950695893,True
graphql,baseline,high,1,xproc_p95,30,0.15781568578243882,False
graphql,baseline,high,10,xproc_p95,30,0.6030612235394434,False
graphql,baseline,high,50,xproc_p95,30,0.05106122702357974,False
graphql,baseline,high,100,xproc_p95,30,0.4164129537856446,False
graphql,baseline,low,1,xproc_p95,30,0.2024296381137703,False
graphql,baseline,low,10,xproc_p95,30,0.0031093772073810745,True
graphql,baseline,low,50,xproc_p95,30,3.0693955673895017e-06,True
graphql,baseline,low,100,xproc_p95,30,0.0003596009726840969,True
graphql,baseline,medium,1,xproc_p95,30,0.2051871221683264,False
graphql,baseline,medium,10,xproc_p95,30,0.5077293737470446,False
graphql,baseline,medium,50,xproc_p95,30,0.9972818161639949,False
graphql,baseline,medium,100,xproc_p95,30,0.7384493117101687,False
graphql,filtered,high,1,xproc_p95,30,0.45452579813233673,False
graphql,filtered,high,10,xproc_p95,30,0.055354104148852605,False
graphql,filtered,high,50,xproc_p95,30,0.00889712673811959,True
graphql,filtered,high,100,xproc_p95,30,0.7519198927598837,False
graphql,filtered,low,1,xproc_p95,30,0.39429908716847434,False
graphql,filtered,low,10,xproc_p95,30,0.049365996305644366,True
graphql,filtered,low,50,xproc_p95,30,0.7524050293373445,False
graphql,filtered,low,100,xproc_p95,30,0.8103594370472373,False
graphql,filtered,medium,1,xproc_p95,30,0.4310054558849299,False
graphql,filtered,medium,10,xproc_p95,30,0.40625203102808516,False
graphql,filtered,medium,50,xproc_p95,30,0.018748678572370572,True
graphql,filtered,medium,100,xproc_p95,30,0.005813270285609235,True
graphql,partial,high,1,xproc_p95,30,0.7333612584646005,False
graphql,partial,high,10,xproc_p95,30,0.05281360030203823,False
graphql,partial,high,50,xproc_p95,30,0.023195366651749542,True
graphql,partial,high,100,xproc_p95,30,0.38138130479666077,False
graphql,partial,low,1,xproc_p95,30,0.5288120012197742,False
graphql,partial,low,10,xproc_p95,30,0.00044667643509444844,True
graphql,partial,low,50,xproc_p95,30,0.35704434386089595,False
graphql,partial,low,100,xproc_p95,30,0.22712369453720171,False
graphql,partial,medium,1,xproc_p95,30,0.47020171943019634,False
graphql,partial,medium,10,xproc_p95,30,0.2400234635511322,False
graphql,partial,medium,50,xproc_p95,30,0.006581289050117062,True
graphql,partial,medium,100,xproc_p95,30,0.7092186128220017,False
rest,aggregate,high,1,xproc_p95,30,0.5914561217833683,False
rest,aggregate,high,10,xproc_p95,30,0.0736036306251867,False
rest,aggregate,high,50,xproc_p95,30,2.911004931547324e-07,True
