caching,access_pattern,payload_weight,entropy,network,density,concurrency,page_size,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
on,zipfian,heavy,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,900.0,1.0656211300554793e-11,1.0,1.0,large,853.5,690.0,1.2787453560665753e-10
on,zipfian,light,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,115.0,5.04629865137032e-07,0.12777777777777774,-0.7444444444444445,large,1769.5,2049.0,1.5138895954110959e-06
off,uniform,heavy,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,uniform,light,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,unique,heavy,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,unique,light,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,zipfian,heavy,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,zipfian,light,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
on,uniform,heavy,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,30,30,429.5,0.7672386011310333,0.4772222222222222,-0.04555555555555557,negligible,0.0244444444444444,0.0233203847576766,1.0
on,uniform,light,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,30,30,347.0,0.12935576429544254,0.38555555555555554,-0.22888888888888892,small,0.0566666666666666,0.06163275373042295,0.5174230571817702
on,unique,heavy,medium,constrained,medium,10,0,cache_hit_rate,rest,graphql,30,30,444.0,0.9071578595572525,0.49333333333333335,-0.013333333333333308,negligible,0.0,0.0,1.0
