scenario,tier,rate_label,metric,family,group_a,group_b,overload_saturates,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
M5,w2,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.400115250000001,14.7318035,1.0871493692983765e-09
M5,w2,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.277488249999999,14.638926,1.0871493692983765e-09
M5,w23,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.891043999999999,20.072149500000002,1.0871493692983765e-09
M5,w23,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.56301725,20.1347105,1.0871493692983765e-09
M5,w8,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.612629999999999,16.2281905,1.0871493692983765e-09
M5,w8,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.3786024999999995,16.05710475,1.0871493692983765e-09
M6,k1,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.745614,14.3253125,1.0871493692983765e-09
M6,k1,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.6279965,14.1923925,1.0871493692983765e-09
M6,k10,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.491172000000001,19.860249500000002,1.0871493692983765e-09
M6,k10,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.948816749999999,19.776083749999998,1.0871493692983765e-09
M6,k5,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.29853475,16.88294225,1.0871493692983765e-09
M6,k5,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.45867775,16.79474425,1.0871493692983765e-09
M1,high,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.642502,6725.321261749999,3.6238312309945887e-10
M1,low,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.16687825,12.88081075,3.6238312309945887e-10
M1,medium,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.60969825,16.063214000000002,3.6238312309945887e-10
M2,high,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.12594875,15.864365750000001,3.6238312309945887e-10
M2,low,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.0736875,11.9230655,3.6238312309945887e-10
M2,medium,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.4721705,13.3096125,3.6238312309945887e-10
M3,high,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.578682499999999,15.3828985,3.6238312309945887e-10
M3,low,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.1149505,13.5653845,3.6238312309945887e-10
M3,medium,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.2312445,13.926341749999999,3.6238312309945887e-10
M4,high,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.5543435,11.8287095,3.6238312309945887e-10
M4,low,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,6.851776,10.777736,3.6238312309945887e-10
M4,medium,r120_overload,lat_p50,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.237923,11.291384749999999,3.6238312309945887e-10
M6,k1,r120_overload,lat_p50,overload_page,rest,graphql,rest,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.288065,14.2188865,9.059578077486472e-11
M6,k10,r120_overload,lat_p50,overload_page,rest,graphql,rest,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,1312.6812755,20.1434885,9.059578077486472e-11
M6,k5,r120_overload,lat_p50,overload_page,rest,graphql,rest,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.502869499999999,16.71138275,9.059578077486472e-11
M5,w2,r120_overload,lat_p50,overload_track,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.202108750000001,14.818432000000001,9.059578077486472e-11
M5,w23,r120_overload,lat_p50,overload_track,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.61974275,5052.458312,9.059578077486472e-11
M5,w8,r120_overload,lat_p50,overload_track,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.224484,16.318955000000003,9.059578077486472e-11
M1,high,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,679.0,0.0007295106100696473,0.7544444444444445,0.508888888888889,large,25.00803967981279,24.99983055393855,0.011672169761114357
M1,high,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,873.0,4.1996766179584087e-10,0.9700000000000001,0.9400000000000002,large,50.00512604353921,49.99704617998255,1.0919159206691863e-08
M1,low,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,660.0,0.0019526766739305424,0.7333333333333333,0.46666666666666656,medium,25.00838383889026,24.999785937944175,0.01857480022634027
M1,low,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,670.0,0.0011737583520143354,0.7444444444444446,0.48888888888888915,large,50.00602492220045,49.9994794065336,0.015258858576186361
M1,medium,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,656.0,0.0023799639794362107,0.7288888888888889,0.45777777777777784,medium,25.00823476456091,25.00552150034725,0.019039711835489685
M1,medium,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,693.0,0.0003367900904319431,0.77,0.54,large,50.005454009111986,49.99955410508856,0.006399011718206919
M2,high,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,610.0,0.0183679594713855,0.6777777777777778,0.3555555555555556,medium,25.00791535336006,24.99976766910364,0.055103878414156496
M2,high,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,678.0,0.0007697288698323855,0.7533333333333334,0.5066666666666668,large,50.00526857896653,49.99944398812759,0.011672169761114357
M2,low,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,580.0,0.05554569313434556,0.6444444444444445,0.288888888888889,small,25.008137629762942,25.007008780786116,0.08119000107338528
M2,low,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,589.0,0.04059500053669264,0.6544444444444444,0.30888888888888877,small,50.005788872766644,49.99968625686062,0.08119000107338528
M2,medium,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,664.0,0.0015968867051760125,0.7377777777777778,0.4755555555555555,large,25.00822055983475,24.999800780063726,0.01756575375693614
M2,medium,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,646.0,0.003848067983551401,0.7177777777777777,0.4355555555555555,medium,50.005604251725536,50.001629095797625,0.023088407901308408
M3,high,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,772.0,2.0022927015293786e-06,0.8577777777777779,0.7155555555555557,large,25.008365671753772,25.005795833918263,4.6052732135175706e-05
M3,high,r80,throughput_rps,sub_saturation,rest,graphql,,30,30,656.0,0.0023799639794362107,0.7288888888888889,0.45777777777777784,medium,50.00542201871083,49.999821597845255,0.019039711835489685
M3,low,r40,throughput_rps,sub_saturation,rest,graphql,,30,30,679.0,0.0007295106100696473,0.7544444444444445,0.508888888888889,large,25.008363200648816,25.005725976120686,0.011672169761114357
