run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
1555732e9f2c,B0018,rest,filtered,low,10,22,run-sesi-1,1781997173.031,1781997233.383,16.322068,22.477067999999996,28.205815180000027,587.219392609629,524,0.017060099999999998,0.011411,0,105.20983606557378,106.9,64.88,64.88,35239,
98baeead83a7,B0018,rest,filtered,low,10,23,run-sesi-1,1781997233.394,1781997293.758,16.1247195,22.233509200000004,27.176938030000002,595.0482591944591,524,0.01676265,0.0112975,0,105.52881355932203,106.91,64.88,64.88,35708,
ba222cb8b278,B0018,rest,filtered,low,10,24,run-sesi-1,1781997293.769,1781997354.120,16.203060999999998,22.584238,27.929907090000004,591.2713882885417,524,0.01716595,0.011345,0,105.11147540983607,107.0,64.88,64.88,35482,
4c3205681fba,B0018,rest,filtered,low,10,25,run-sesi-1,1781997354.132,1781997414.491,15.937813,22.1808702,27.330401180000006,601.1948985076612,524,0.016756,0.011162,0,105.26271186440678,106.9,64.88,64.88,36079,
ad67d6599663,B0018,rest,filtered,low,10,26,run-sesi-1,1781997414.502,1781997474.848,16.0077575,21.6927005,26.33336434999997,601.8390008275467,524,0.016391,0.01117,0,104.86721311475411,106.9,64.88,64.88,36116,
0f5ccbd06f68,B0018,rest,filtered,low,10,27,run-sesi-1,1781997474.860,1781997535.213,16.048215,22.4785666,27.71157503,596.4397003905209,524,0.016951,0.011231,0,105.55000000000001,106.9,64.88,64.88,35794,
784a2a6026c3,B0018,rest,filtered,low,10,28,run-sesi-1,1781997535.226,1781997595.566,15.950508,21.743958,26.813887,603.2790842017939,524,0.016429,0.011138,0,104.91000000000001,106.9,64.88,64.88,36201,
b217e9ffe54b,B0018,rest,filtered,low,10,29,run-sesi-1,1781997595.588,1781997655.954,16.0241435,21.805111950000004,26.848011009999983,600.6983259315041,524,0.016338,0.011178,0,104.50327868852459,106.9,64.88,64.88,36048,
502a2270fab7,B0030,rest,aggregate,medium,10,0,run-sesi-1,1781997837.047,1781997897.407,14.110876,18.869485,23.205543200000008,677.5698761547669,287,0.014161,0.009871,0,105.42459016393443,107.9,64.94,64.94,40661,
678af9e48750,B0030,rest,aggregate,medium,10,1,run-sesi-1,1781997897.410,1781997958.009,13.979733,18.247686,22.740514000000044,686.9138577922299,287,0.013654,0.009827,0,105.78333333333335,106.9,64.94,64.94,41221,
08dbc6e05ac1,B0030,rest,aggregate,medium,10,2,run-sesi-1,1781997958.013,1781998018.379,14.2306605,18.875749850000002,23.02264896,671.7066588478336,288,0.01416965,0.009987,0,104.7688524590164,107.9,64.94,64.94,40308,
ec110daaa7d2,B0030,rest,aggregate,medium,10,3,run-sesi-1,1781998018.384,1781998078.737,13.980821500000001,18.775397350000002,23.243069759999965,683.8805660122216,287,0.01405115,0.009784,0,105.825,106.905,64.94,64.94,41038,
ea1dcb806dc6,B0030,rest,aggregate,medium,10,4,run-sesi-1,1781998078.741,1781998139.120,13.8638635,18.46616135,22.61609294000001,691.9032057774333,288,0.013794,0.009712,0,105.25333333333334,106.905,64.94,64.94,41518,
f2a2cdb8668a,B0030,rest,aggregate,medium,10,5,run-sesi-1,1781998139.124,1781998199.467,14.243246,19.442696,24.125849760000033,671.4023057727034,287,0.014695199999999999,0.009996,0,105.72666666666667,107.9,64.94366666666666,64.96,40289,
173ee6a77763,B0030,rest,aggregate,medium,10,6,run-sesi-1,1781998199.472,1781998260.069,13.811312,18.228266299999998,22.588057400000014,694.0245246741545,287,0.013496399999999995,0.009638,0,105.172131147541,106.9,64.96,64.96,41647,
41af28b407fd,B0030,rest,aggregate,medium,10,7,run-sesi-1,1781998260.074,1781998320.430,14.0455825,18.88538349999999,23.661272299999926,679.396130522585,287,0.014138,0.009849,0,105.185,107.9,64.96,64.96,40770,
329c0d27bd24,B0030,rest,aggregate,medium,10,8,run-sesi-1,1781998320.436,1781998380.808,13.732497,17.872216699999996,21.68976660000001,698.4634050363752,287,0.013225299999999995,0.009618,0,104.61311475409836,106.9,64.96,64.96,41915,
0f1bb9559520,B0030,rest,aggregate,medium,10,9,run-sesi-1,1781998380.814,1781998441.175,13.815979500000001,18.534448549999997,22.78304697000003,694.5896913776047,288,0.013988949999999997,0.009703,0,106.03333333333333,107.9,64.96,64.96,41682,
38cae6307d37,B0030,rest,aggregate,medium,10,10,run-sesi-1,1781998441.181,1781998501.553,13.773088,18.64352635,23.40414586000001,690.8173306499401,287,0.014063,0.009692,0,105.46666666666667,107.9,64.96,64.96,41454,
